"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2020","6,156.70","6,217.70","6,217.75","6,140.70","","-2.11%"
"09/23/2020","6,289.35","6,361.70","6,393.35","6,224.20","","-0.37%"
"09/22/2020","6,312.75","6,411.35","6,418.70","6,189.00","","-1.67%"
"09/21/2020","6,419.75","6,660.95","6,675.75","6,395.45","","-3.41%"
"09/18/2020","6,646.20","6,694.25","6,708.85","6,634.25","","-0.15%"
"09/17/2020","6,656.40","6,655.50","6,694.15","6,634.60","","-0.40%"
"09/16/2020","6,683.25","6,690.55","6,700.50","6,656.55","","0.32%"
"09/15/2020","6,662.10","6,623.75","6,670.10","6,619.55","","1.20%"
"09/14/2020","6,582.85","6,485.10","6,620.55","6,482.40","","2.73%"
"09/11/2020","6,408.05","6,382.30","6,411.25","6,370.30","","0.60%"
"09/10/2020","6,370.00","6,346.85","6,393.60","6,314.80","","1.14%"
"09/09/2020","6,298.40","6,279.85","6,311.15","6,221.20","","-0.61%"
"09/08/2020","6,336.80","6,433.75","6,445.60","6,314.30","","-1.21%"
"09/07/2020","6,414.65","6,480.95","6,500.45","6,387.45","","-0.70%"
"09/04/2020","6,459.85","6,445.50","6,522.55","6,420.75","","-1.56%"
"09/03/2020","6,562.15","6,540.80","6,571.75","6,537.20","","0.85%"
"09/02/2020","6,506.70","6,436.05","6,517.50","6,421.80","","1.50%"
"09/01/2020","6,410.50","6,373.35","6,449.45","6,315.00","","0.76%"
"08/31/2020","6,362.05","6,657.40","6,670.90","6,330.55","","-3.74%"
"08/28/2020","6,609.40","6,612.65","6,636.80","6,599.40","","0.59%"
"08/27/2020","6,570.40","6,599.65","6,613.35","6,564.10","","0.16%"
"08/26/2020","6,559.80","6,554.50","6,575.20","6,549.45","","0.51%"
"08/25/2020","6,526.45","6,550.80","6,565.45","6,499.10","","0.34%"
"08/24/2020","6,504.45","6,490.55","6,532.60","6,488.00","","0.90%"
"08/21/2020","6,446.75","6,450.70","6,487.25","6,440.55","","0.74%"
"08/20/2020","6,399.40","6,320.75","6,405.10","6,301.65","","0.80%"
"08/19/2020","6,348.90","6,339.60","6,366.20","6,338.10","","0.69%"
"08/18/2020","6,305.30","6,247.70","6,311.80","6,247.05","","1.28%"
"08/17/2020","6,225.70","6,250.80","6,256.90","6,184.70","","0.43%"
