"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","09 Jun 2021","-","-","-","7442.55"
"NIFTY TOTAL MARKET","08 Jun 2021","-","-","-","7498.22"
"NIFTY TOTAL MARKET","07 Jun 2021","-","-","-","7487.90"
"NIFTY TOTAL MARKET","04 Jun 2021","-","-","-","7438.90"
"NIFTY TOTAL MARKET","03 Jun 2021","-","-","-","7429.55"
"NIFTY TOTAL MARKET","02 Jun 2021","-","-","-","7369.22"
"NIFTY TOTAL MARKET","01 Jun 2021","-","-","-","7331.44"
"NIFTY TOTAL MARKET","31 May 2021","-","-","-","7341.32"
"NIFTY TOTAL MARKET","28 May 2021","-","-","-","7281.67"
"NIFTY TOTAL MARKET","27 May 2021","-","-","-","7254.83"
"NIFTY TOTAL MARKET","26 May 2021","-","-","-","7230.70"
"NIFTY TOTAL MARKET","25 May 2021","-","-","-","7196.87"
"NIFTY TOTAL MARKET","24 May 2021","-","-","-","7195.68"
"NIFTY TOTAL MARKET","21 May 2021","-","-","-","7170.07"
"NIFTY TOTAL MARKET","20 May 2021","-","-","-","7070.48"
"NIFTY TOTAL MARKET","19 May 2021","-","-","-","7109.53"
"NIFTY TOTAL MARKET","18 May 2021","-","-","-","7124.77"
"NIFTY TOTAL MARKET","17 May 2021","-","-","-","7032.49"
"NIFTY TOTAL MARKET","14 May 2021","-","-","-","6921.19"
"NIFTY TOTAL MARKET","12 May 2021","-","-","-","6958.07"
"NIFTY TOTAL MARKET","11 May 2021","-","-","-","7015.58"
"NIFTY TOTAL MARKET","10 May 2021","-","-","-","7029.26"
"NIFTY TOTAL MARKET","07 May 2021","-","-","-","6968.51"
"NIFTY TOTAL MARKET","06 May 2021","-","-","-","6933.52"
"NIFTY TOTAL MARKET","05 May 2021","-","-","-","6884.00"
"NIFTY TOTAL MARKET","04 May 2021","-","-","-","6821.13"
"NIFTY TOTAL MARKET","03 May 2021","-","-","-","6873.49"
"NIFTY TOTAL MARKET","30 Apr 2021","-","-","-","6853.58"
"NIFTY TOTAL MARKET","29 Apr 2021","-","-","-","6944.92"
"NIFTY TOTAL MARKET","28 Apr 2021","-","-","-","6936.38"
"NIFTY TOTAL MARKET","27 Apr 2021","-","-","-","6850.04"
"NIFTY TOTAL MARKET","26 Apr 2021","-","-","-","6768.78"
"NIFTY TOTAL MARKET","23 Apr 2021","-","-","-","6706.91"
"NIFTY TOTAL MARKET","22 Apr 2021","-","-","-","6721.08"
"NIFTY TOTAL MARKET","20 Apr 2021","-","-","-","6677.92"
"NIFTY TOTAL MARKET","19 Apr 2021","-","-","-","6688.15"
"NIFTY TOTAL MARKET","16 Apr 2021","-","-","-","6811.70"
"NIFTY TOTAL MARKET","15 Apr 2021","-","-","-","6777.40"
"NIFTY TOTAL MARKET","13 Apr 2021","-","-","-","6750.28"
"NIFTY TOTAL MARKET","12 Apr 2021","-","-","-","6659.88"
"NIFTY TOTAL MARKET","09 Apr 2021","-","-","-","6941.59"
"NIFTY TOTAL MARKET","08 Apr 2021","-","-","-","6948.69"
"NIFTY TOTAL MARKET","07 Apr 2021","-","-","-","6914.01"
"NIFTY TOTAL MARKET","06 Apr 2021","-","-","-","6844.87"
"NIFTY TOTAL MARKET","05 Apr 2021","-","-","-","6811.45"
"NIFTY TOTAL MARKET","01 Apr 2021","-","-","-","6910.89"
"NIFTY TOTAL MARKET","31 Mar 2021","-","-","-","6817.25"
"NIFTY TOTAL MARKET","30 Mar 2021","-","-","-","6857.16"
"NIFTY TOTAL MARKET","26 Mar 2021","-","-","-","6726.12"
"NIFTY TOTAL MARKET","25 Mar 2021","-","-","-","6640.18"
"NIFTY TOTAL MARKET","24 Mar 2021","-","-","-","6753.96"
"NIFTY TOTAL MARKET","23 Mar 2021","-","-","-","6875.33"
"NIFTY TOTAL MARKET","22 Mar 2021","-","-","-","6831.66"
"NIFTY TOTAL MARKET","19 Mar 2021","-","-","-","6817.34"
"NIFTY TOTAL MARKET","18 Mar 2021","-","-","-","6740.25"
"NIFTY TOTAL MARKET","17 Mar 2021","-","-","-","6822.33"
"NIFTY TOTAL MARKET","16 Mar 2021","-","-","-","6930.47"
"NIFTY TOTAL MARKET","15 Mar 2021","-","-","-","6928.38"
"NIFTY TOTAL MARKET","12 Mar 2021","-","-","-","6974.48"
"NIFTY TOTAL MARKET","10 Mar 2021","-","-","-","7027.89"
"NIFTY TOTAL MARKET","09 Mar 2021","-","-","-","6986.57"
"NIFTY TOTAL MARKET","08 Mar 2021","-","-","-","6955.50"
"NIFTY TOTAL MARKET","05 Mar 2021","-","-","-","6943.15"
"NIFTY TOTAL MARKET","04 Mar 2021","-","-","-","7026.35"
"NIFTY TOTAL MARKET","03 Mar 2021","-","-","-","7066.61"
"NIFTY TOTAL MARKET","02 Mar 2021","-","-","-","6931.45"
"NIFTY TOTAL MARKET","01 Mar 2021","-","-","-","6847.74"
"NIFTY TOTAL MARKET","26 Feb 2021","-","-","-","6744.06"
"NIFTY TOTAL MARKET","25 Feb 2021","-","-","-","6955.16"
"NIFTY TOTAL MARKET","24 Feb 2021","-","-","-","6892.67"
"NIFTY TOTAL MARKET","23 Feb 2021","-","-","-","6787.21"
"NIFTY TOTAL MARKET","22 Feb 2021","-","-","-","6757.95"
"NIFTY TOTAL MARKET","19 Feb 2021","-","-","-","6882.22"
"NIFTY TOTAL MARKET","18 Feb 2021","-","-","-","6951.92"
"NIFTY TOTAL MARKET","17 Feb 2021","-","-","-","6967.62"
"NIFTY TOTAL MARKET","16 Feb 2021","-","-","-","6993.48"
"NIFTY TOTAL MARKET","15 Feb 2021","-","-","-","6985.39"
