"Date","Price","Open","High","Low","Vol.","Change %"
"27-03-2009","3,828.51","3,828.51","3,828.51","3,828.51","","0.86%"
"26-03-2009","3,796.04","3,796.04","3,796.04","3,796.04","","3.28%"
"25-03-2009","3,675.43","3,675.43","3,675.43","3,675.43","","1.55%"
"24-03-2009","3,619.20","3,619.20","3,619.20","3,619.20","","4.70%"
"23-03-2009","3,456.79","3,456.79","3,456.79","3,456.79","","0.00%"
"20-03-2009","3,456.79","3,456.79","3,456.79","3,456.79","","0.00%"
"19-03-2009","3,456.95","3,456.95","3,456.95","3,456.95","","0.45%"
"18-03-2009","3,441.57","3,441.57","3,441.57","3,441.57","","1.35%"
"17-03-2009","3,395.69","3,395.69","3,395.69","3,395.69","","-0.71%"
"16-03-2009","3,420.13","3,420.13","3,420.13","3,420.13","","2.13%"
"13-03-2009","3,348.70","3,348.70","3,348.70","3,348.70","","3.89%"
"12-03-2009","3,223.30","3,223.30","3,223.30","3,223.30","","-0.10%"
"09-03-2009","3,226.63","3,226.63","3,226.63","3,226.63","","0.00%"
"06-03-2009","3,226.63","3,226.63","3,226.63","3,226.63","","1.69%"
"05-03-2009","3,173.11","3,173.11","3,173.11","3,173.11","","-2.59%"
"04-03-2009","3,257.46","3,257.46","3,257.46","3,257.46","","0.87%"
"03-03-2009","3,229.43","3,229.43","3,229.43","3,229.43","","-1.95%"
"02-03-2009","3,293.68","3,293.68","3,293.68","3,293.68","","-3.22%"
"27-02-2009","3,403.33","3,403.33","3,403.33","3,403.33","","-0.79%"
"26-02-2009","3,430.46","3,430.46","3,430.46","3,430.46","","0.84%"
"25-02-2009","3,401.93","3,401.93","3,401.93","3,401.93","","1.05%"
"24-02-2009","3,366.73","3,366.73","3,366.73","3,366.73","","-0.09%"
"20-02-2009","3,369.86","3,369.86","3,369.86","3,369.86","","-1.90%"
"19-02-2009","3,435.02","3,435.02","3,435.02","3,435.02","","0.48%"
"18-02-2009","3,418.72","3,418.72","3,418.72","3,418.72","","0.21%"
"17-02-2009","3,411.56","3,411.56","3,411.56","3,411.56","","-2.72%"
"16-02-2009","3,506.90","3,506.90","3,506.90","3,506.90","","-3.39%"
"13-02-2009","3,629.83","3,629.83","3,629.83","3,629.83","","1.91%"
"12-02-2009","3,561.72","3,561.72","3,561.72","3,561.72","","-1.11%"
"11-02-2009","3,601.57","3,601.57","3,601.57","3,601.57","","-0.30%"
"10-02-2009","3,612.41","3,612.41","3,612.41","3,612.41","","0.50%"
